,Unnamed: 0,state,cityid,sitetype,tag,type,mislabeled check,title,title_sub,businessname,url,domain,desc,last_update_date,location,operation_time,url_googlemap,url_moreplace,domain2,web_status,web_error
0,0,AL,2721536,website,farmersmarket,1,,Home | Coastal Alabama Farmers and Fishermen Market ...,Coastal Alabama Farmers and Fishermans Market|,,https://coastalalabamamarket.com/,coastalalabamamarket.com,"Foley, Alabama ... Our goal at the Coastal Alabama Farmers & Fishermens Market is to provide local fruits, vegetables, seafood, and non-certifiable agricultural ...",,,,,,coastalalabamamarket.com,good,
1,1,AR,2737656,news - listings,farmersmarket,listings,,12 Incredible Farmers Markets In Arkansas,OnlyInYourState|https://www.onlyinyourstate.com| › arkansas › 12-farm...,,https://www.onlyinyourstate.com/arkansas/12-farmers-markets-arkansas/,www.onlyinyourstate.com,"Apr 19, 2016 — 1. Argenta Certified Arkansas Farmers Market (North Little Rock) · 2. Bernice Garden Farmers Market (Little Rock) · 3. Little Rock Farmers Market.","Apr 19, 2016",,,,,onlyinyourstate.com,good,
2,2,AR,2737656,website,farmersmarket,1,,"Farmers Market - Little Rock, AR",littlerock.com|https://www.littlerock.com| › River Market,,"https://www.littlerock.com/river-market/farmers-market/#:~:text=since%201996%2c%20the%20little%20rock,and%20handmade%20arts%20and%20crafts.",www.littlerock.com,,,,,,,littlerock.com,good,
3,3,AZ,2710900,news - listings,farmersmarket,listings,,"5 Farmers Markets to Visit Near Gilbert, Arizona",Creme de la Creme|https://cremedelacreme.com| › blog › farmers-markets-...,,https://cremedelacreme.com/blog/farmers-markets-gilbert-az/,cremedelacreme.com,"May 20, 2021 — From October through June, the Downtown Chandler Farmers Market promotes local, sustainable living with fresh fruits and vegetables from farmers ...","May 20, 2021",,,,,cremedelacreme.com,good,
4,c,AZ,2720222,website,farmersmarket,1,,The Original Farmers Market: Farmers Market L.A.,AZ Animals|https://a-z-animals.com| › Places,,https://a-z-animals.com/blog/the-original-farmers-market-farmers-market-la/,a-z-animals.com,"Mar 2, 2023 — Just south of West Hollywood, residents and tourists alike are welcome to meet the original market vendors at 3rd and Fairfax. Boasting over 100 ...","Mar 2, 2023",,,,,a-z-animals.com,good,
5,6,CA,2762896,website - listings,farmersmarket,listings,,"Farmers' Markets Near Stockton, California",Visit Stockton|https://www.visitstockton.org| › Blogs,,https://www.visitstockton.org/blog/farmers-markets-in-and-around-stockton/,www.visitstockton.org,"Farmers' Markets Near Stockton, California · Golden Villa Farmers' Market · Yosemite Street Market · Weberstown Mall Farmers' Market · Edible Schoolyard Farm Stand.",,,,,,visitstockton.org,good,
6,5,CA,2758072,website,farmersmarket,1,,"West End Farmers Market – Santa Rosa, CA - Sonoma.com",sonoma.com|https://www.sonoma.com| › businesses › west-end-far...,,https://www.sonoma.com/businesses/16629/west-end-farmers-market,www.sonoma.com,"Located in the heart of Railroad Square, this vibrant community gathering place for local farmers, crafters and artisans to offer their wares to the public.",,,,,,sonoma.com,good,
7,7,CO,2707462,event,farmersmarket,1,,"Dillon Farmers Market | Dillon, CO",the Town of Dillon|https://www.townofdillon.com| › events › dillon-farme...,,https://www.townofdillon.com/events/dillon-farmers-market,www.townofdillon.com,"New for the 2023 season, the Dillon Farmers Market will be located in the recently renovated Town Park along Buffalo and LaBonte Streets. PLEASE NOTE THAT DUE ...",the 2023,,,,,townofdillon.com,good,
8,8,CO,2749498,news,farmersmarket,1,,Palisade Farmers Market continues to grow | Western Colorado,gjsentinel.com|https://www.gjsentinel.com| › news › palisade-farmers-ma...,,https://www.gjsentinel.com/news/western_colorado/palisade-farmers-market-continues-to-grow/article_1831b2f0-ee6d-11ec-b1f2-730215a40cf3.html,www.gjsentinel.com,"Jennifer Greenwood, left, pays Brian Adams of Green Junction Farmstead for her vegetables while shopping at the Sunday farmers market in Palisade. The market ...",,,,,,gjsentinel.com,good,
9,9,CT,2713780,individual,farmersmarket,1,,"Cromwell Farmers Market | Fresh & Local | Cromwell, CT",Cromwell Farmers Market|,,https://www.cromwellfarmersmarket.org/,www.cromwellfarmersmarket.org,"Cromwell Farmers Market is a 501(c)(3) non-profit organization with a passion to build our community and provide access to a happy, healthier lifestyle.",,,,,,cromwellfarmersmarket.org,good,
